Morphs: 人工知能	 Dst: 14	 Srcs: []
Morphs: （じんこうちのう、	 Dst: 14	 Srcs: []
Morphs: AI	 Dst: 3	 Srcs: []
Morphs: 〈エーアイ〉）とは、	 Dst: 14	 Srcs: [2]
Morphs: 「『計算（）』という	 Dst: 6	 Srcs: []
Morphs: 概念と	 Dst: 6	 Srcs: []
Morphs: 『コンピュータ（）』という	 Dst: 7	 Srcs: [4, 5]
Morphs: 道具を	 Dst: 8	 Srcs: [6]
Morphs: 用いて	 Dst: 10	 Srcs: [7]
Morphs: 『知能』を	 Dst: 10	 Srcs: []
Morphs: 研究する	 Dst: 11	 Srcs: [8, 9]
Morphs: 計算機科学（）の	 Dst: 12	 Srcs: [10]
Morphs: 一分野」を	 Dst: 13	 Srcs: [11]
Morphs: 指す	 Dst: 14	 Srcs: [12]
Morphs: 語。	 Dst: 30	 Srcs: [0, 1, 3, 13]
Morphs: 「言語の	 Dst: 17	 Srcs: []
Morphs: 理解や	 Dst: 17	 Srcs: []
Morphs: 推論、	 Dst: 19	 Srcs: [15, 16]
Morphs: 問題解決などの	 Dst: 19	 Srcs: []
Morphs: 知的行動を	 Dst: 21	 Srcs: [17, 18]
Morphs: 人間に	 Dst: 21	 Srcs: []
Morphs: 代わって	 Dst: 23	 Srcs: [19, 20]
Morphs: コンピューターに	 Dst: 23	 Srcs: []
Morphs: 行わせる	 Dst: 24	 Srcs: [21, 22]
Morphs: 技術」、または、	 Dst: 30	 Srcs: [23]
Morphs: 「計算機（コンピュータ）による	 Dst: 27	 Srcs: []
Morphs: 知的な	 Dst: 27	 Srcs: []
Morphs: 情報処理システムの	 Dst: 29	 Srcs: [25, 26]
Morphs: 設計や	 Dst: 29	 Srcs: []
Morphs: 実現に関する	 Dst: 30	 Srcs: [27, 28]
Morphs: 研究分野」とも	 Dst: 31	 Srcs: [14, 24, 29]
Morphs: される。	 Dst: 43	 Srcs: [30]
Morphs: 『日本大百科全書ニッポニカの	 Dst: 33	 Srcs: []
Morphs: 解説で、	 Dst: 37	 Srcs: [32]
Morphs: 情報工学者・通信工学者の	 Dst: 35	 Srcs: []
Morphs: 佐藤理史は	 Dst: 37	 Srcs: [34]
Morphs: 次のように	 Dst: 37	 Srcs: []
Morphs: 述べている。	 Dst: 43	 Srcs: [33, 35, 36]
Morphs: 人間の	 Dst: 39	 Srcs: []
Morphs: 知的能力を	 Dst: 41	 Srcs: [38]
Morphs: コンピュータ上で	 Dst: 41	 Srcs: []
Morphs: 実現する、	 Dst: 43	 Srcs: [39, 40]
Morphs: 様々な	 Dst: 43	 Srcs: []
Morphs: 技術・ソフトウェア・コンピュータシステム。	 Dst: 57	 Srcs: [31, 37, 41, 42]
Morphs: 応用例は	 Dst: 57	 Srcs: []
Morphs: 自然言語処理	 Dst: 46	 Srcs: []
Morphs: （機械翻訳・かな漢字変換・構文解析等）、	 Dst: 47	 Srcs: [45]
Morphs: 専門家の	 Dst: 48	 Srcs: [46]
Morphs: 推論・判断を	 Dst: 49	 Srcs: [47]
Morphs: 模倣する	 Dst: 50	 Srcs: [48]
Morphs: エキスパートシステム、	 Dst: 51	 Srcs: [49]
Morphs: 画像データを	 Dst: 52	 Srcs: [50]
Morphs: 解析して	 Dst: 55	 Srcs: [51]
Morphs: 特定の	 Dst: 54	 Srcs: []
Morphs: パターンを	 Dst: 55	 Srcs: [53]
Morphs: 検出・抽出したりする	 Dst: 56	 Srcs: [52, 54]
Morphs: 画像認識等が	 Dst: 57	 Srcs: [55]
Morphs: ある。	 Dst: 61	 Srcs: [43, 44, 56]
Morphs: 1956年に	 Dst: 61	 Srcs: []
Morphs: ダートマス会議で	 Dst: 61	 Srcs: []
Morphs: ジョン・マッカーシーにより	 Dst: 61	 Srcs: []
Morphs: 命名された。	 Dst: 73	 Srcs: [57, 58, 59, 60]
Morphs: 現在では、	 Dst: 73	 Srcs: []
Morphs: 記号処理を	 Dst: 64	 Srcs: []
Morphs: 用いた	 Dst: 65	 Srcs: [63]
Morphs: 知能の	 Dst: 66	 Srcs: [64]
Morphs: 記述を	 Dst: 68	 Srcs: [65]
Morphs: 主体と	 Dst: 68	 Srcs: []
Morphs: する	 Dst: 70	 Srcs: [66, 67]
Morphs: 情報処理や	 Dst: 70	 Srcs: []
