代わる	行動+を
する	判断+を
用いる	処理+を
する	記述+を
集める	注目+を
行う	学習+を 経験+を
超える	流行+を
繰り返す	学習+を
見せる	進化+を
行う	生成+を
する	テスト+を
行う	処理+を
行う	処理+を
する	意味+を
行う	処理+を
進める	研究+を
する	命令+を
する	運転+を
する	特許+を
する	研究+を
する	運転+を
集める	注目+を
する	制御+を
受ける	成功+を
用いる	制御+を
する	制御+を
する	制御+を
担う	進歩+を
果たす	改善+を
使う	プログラム+を
続ける	研究+を
集める	注目+を
受ける	普及+を
組み合わせる	学習+を
行う	投資+を
行う	探索+を
する	推論+を
始める	研究+を
する	開発+を
する	実験+を
する	開発+を
する	投資+を
する	学習+を
行う	シミュレーション+を
起こす	反乱+を
併せ持つ	弾圧+を
行う	監視+を
経る	手続き+を
認める	差別+を
する	研究+を
変える	展開+を
する	戦争+を
する	制御+を
介す	判断+を
求める	禁止+を
めぐる	運用+を
行う	競争+を
する	記録+を
行う	試験+を
受ける	追及+を
する	研究+を
する	解任+を
見いだす	存在+を
する	)+を
する	実現+を
する	話+を
行う	疎通+を
する	勘違い+を
行う	議論+を
